time_ps,epoch,output_index,cic_valid_count,cic_i,cic_q,fir_i,fir_q
1250000,0,0,2,290367175868,-16564016604,9336,-1140
2250000,0,1,4,362324527200,0,73096,-3179
3250000,0,2,6,362324527200,0,48998,8103
4250000,0,3,8,362324527200,0,-416132,23730
5250000,0,4,10,362324527200,0,-542301,-28838
6250000,0,5,12,362324527200,0,1817269,-154043
7250000,0,6,14,362324527200,0,6694062,-201130
8250000,0,7,16,362324527200,0,10709720,-101140
9250000,0,8,18,362324527200,0,11718763,5712
10250000,0,9,20,362324527200,0,11211909,20692
11250000,0,10,22,362324527200,0,10959543,842
12250000,0,11,24,362324527200,0,11020036,-2868
13249000,0,12,26,362324527200,0,11055874,-321
14249000,0,13,28,362324527200,0,11057267,0
15249000,0,14,30,362324527200,0,11057267,0
16249000,0,15,32,362324527200,0,11057267,0
17249000,0,16,34,362324527200,0,11057267,0
18249000,0,17,36,362324527200,0,11057267,0
19583000,1,0,2,290367175868,-16564016604,9336,-1140
20583000,1,1,4,362324527200,0,73096,-3179
21582000,1,2,6,362324527200,0,48998,8103
22582000,1,3,8,362324527200,0,-416132,23730
23582000,1,4,10,362324527200,0,-542301,-28838
24582000,1,5,12,362324527200,0,1817269,-154043
25582000,1,6,14,362324527200,0,6694062,-201130
26582000,1,7,16,362324527200,0,10709720,-101140
27582000,1,8,18,362324527200,0,11718763,5712
28582000,1,9,20,362324527200,0,11211909,20692
29582000,1,10,22,362324527200,0,10959543,842
30582000,1,11,24,362324527200,0,11020036,-2868
31582000,1,12,26,362324527200,0,11055874,-321
32582000,1,13,28,362324527200,0,11057267,0
33582000,1,14,30,362324527200,0,11057267,0
34582000,1,15,32,362324527200,0,11057267,0
35582000,1,16,34,362324527200,0,11057267,0
36582000,1,17,36,362324527200,0,11057267,0
