time_ps,epoch,output_index,adc_valid_count,baseband_i,baseband_q
1250000,0,0,63,9336,-1140
2250000,0,1,123,73096,-3179
3250000,0,2,183,48998,8103
4250000,0,3,243,-416132,23730
5250000,0,4,303,-542301,-28838
6250000,0,5,363,1817269,-154043
7250000,0,6,423,6694062,-201130
8250000,0,7,483,10709720,-101140
9250000,0,8,543,11718763,5712
10250000,0,9,603,11211909,20692
11250000,0,10,663,10959543,842
12250000,0,11,723,11020036,-2868
13249000,0,12,783,11055874,-321
14249000,0,13,843,11057267,0
15249000,0,14,903,11057267,0
16249000,0,15,963,11057267,0
17249000,0,16,1023,11057267,0
18249000,0,17,1083,11057267,0
19583000,1,0,63,9336,-1140
20583000,1,1,123,73096,-3179
21582000,1,2,183,48998,8103
22582000,1,3,243,-416132,23730
23582000,1,4,303,-542301,-28838
24582000,1,5,363,1817269,-154043
25582000,1,6,423,6694062,-201130
26582000,1,7,483,10709720,-101140
27582000,1,8,543,11718763,5712
28582000,1,9,603,11211909,20692
29582000,1,10,663,10959543,842
30582000,1,11,723,11020036,-2868
31582000,1,12,783,11055874,-321
32582000,1,13,843,11057267,0
33582000,1,14,903,11057267,0
34582000,1,15,963,11057267,0
35582000,1,16,1023,11057267,0
36582000,1,17,1083,11057267,0
